runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
0,9/27/2024 15:51,resnet18,390,probmask,mnistcifar,50,47.11077118,0.63320002,0.613999985,0.697200029,0.600999999,0.84375,22.95375061,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:50,resnet18,390,probmask,mnistcifar,50,45.515095,0.603100007,0.620999996,0.643500013,0.540000011,0.84375,21.89164162,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:49,resnet18,390,probmask,mnistcifar,50,46.63622785,0.657600017,0.625999988,0.685000032,0.573000019,0.84375,22.23556137,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:48,resnet18,390,probmask,mnistcifar,50,43.87652111,0.655800021,0.623000008,0.631300007,0.606999988,0.84375,20.87722778,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:47,resnet18,390,probmask,mnistcifar,50,45.71548796,0.613000009,0.640000002,0.566500014,0.510000006,0.84375,20.74407959,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:46,resnet18,390,probmask,mnistcifar,50,45.94404125,0.628100013,0.637000001,0.662200022,0.567000006,0.84375,21.16255569,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:45,resnet18,390,probmask,mnistcifar,50,43.62663388,0.639900013,0.662000034,0.567900015,0.643999991,0.84375,21.17348862,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:44,resnet18,390,probmask,mnistcifar,50,46.6591289,0.633200016,0.631999999,0.669700026,0.605999985,0.84375,20.77356339,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:43,resnet18,390,probmask,mnistcifar,50,42.50182772,0.668100028,0.624000006,0.633000012,0.567,0.84375,20.20039368,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:43,resnet18,390,probmask,mnistcifar,50,46.73607707,0.643500011,0.653000023,0.625900005,0.590000002,0.84375,20.59060287,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:42,resnet18,390,probmask,mnistcifar,50,45.81041479,0.67930003,0.598999997,0.661500022,0.595999998,0.853515625,20.94491577,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:41,resnet18,390,probmask,mnistcifar,50,46.50393224,0.67150003,0.659000006,0.726200032,0.624000009,0.853515625,22.3731575,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:40,resnet18,390,probmask,mnistcifar,50,46.7452662,0.677200028,0.607000002,0.687600034,0.566000018,0.853515625,21.89177132,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:39,resnet18,390,probmask,mnistcifar,50,46.9379797,0.620900003,0.628000017,0.607600007,0.601999997,0.853515625,19.12529564,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:38,resnet18,390,probmask,mnistcifar,50,46.74159145,0.644700018,0.640000025,0.626800009,0.574000003,0.853515625,20.05884361,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
